model,augment_dim,seed,budget,train_tol,eval_tol,val_acc,val_loss,dense_acc,fwd_nfe_median,fwd_nfe_q1,fwd_nfe_q3,fwd_nfe_max,recon_max,recon_mean,recon_ok,elapsed_s
ANODE-p1,1,3,50,1e-06,1e-06,1.0,5.503509407086919e-05,0.9987499713897705,164.0,92.0,170.0,176.0,0.0004707560583483428,8.013405749807134e-05,1,65.8
ANODE-p1,1,3,100,1e-06,1e-06,1.0,9.789327668840997e-06,0.9986666440963745,164.0,98.0,170.0,182.0,0.0003845208848360926,8.429252920905128e-05,1,126.1
ANODE-p1,1,3,200,1e-06,1e-06,1.0,1.6490543051380276e-06,0.9986666440963745,170.0,98.0,170.0,176.0,0.00040944275679066777,7.402000483125448e-05,1,244.2
ANODE-p1,1,3,500,1e-06,1e-06,1.0,6.308156912382401e-08,0.9985833168029785,170.0,98.0,176.0,188.0,0.00033281021751463413,6.714754999848083e-05,1,599.1
ANODE-p1,1,3,1000,1e-06,1e-06,1.0,7.450573965191628e-09,0.9984999895095825,170.0,98.0,176.0,188.0,0.00032063276739791036,7.608914893353358e-05,1,1198.4
ANODE-p1,1,4,25,1e-06,1e-06,1.0,0.0002567137940786779,1.0,200.0,92.0,200.0,212.0,0.00030031512142159045,7.188093877630308e-05,1,40.4
ANODE-p1,1,4,50,1e-06,1e-06,1.0,2.9320072159559155e-05,0.9995833039283752,200.0,98.0,206.0,212.0,0.0003480171144474298,8.164565952029079e-05,1,77.4
ANODE-p1,1,4,100,1e-06,1e-06,1.0,4.624150309003501e-06,0.9994999766349792,200.0,98.0,206.0,212.0,0.0006220689974725246,9.426239557797089e-05,1,148.7
ANODE-p1,1,4,200,1e-06,1e-06,1.0,6.462093286548527e-07,0.9994999766349792,200.0,104.0,206.0,212.0,0.00037481641629710793,8.500976400682703e-05,1,287.5
ANODE-p1,1,4,500,1e-06,1e-06,1.0,1.5894567736059646e-08,0.9994166493415833,206.0,104.0,206.0,218.0,0.0003072694526053965,7.361885946011171e-05,1,701.1
ANODE-p1,1,4,1000,1e-06,1e-06,1.0,0.0,0.9995833039283752,206.0,110.0,209.0,218.0,0.0004654338990803808,9.286796557717025e-05,1,1394.2
