field,seed,trained,solver,tol,adjoint_tol,adj_offset,fwd_nfe,bwd_nfe,ratio,recon_rel,recon_ok,grad_reldiff,grad_ok,wall_s,capped,ref_tol,hardware
spheres,0,0,adaptive_heun,1e-05,0.001,100.0,64,53,0.828125,1.1851198905787896e-05,1,0.0010935859754681587,1,0.08,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,adaptive_heun,1e-07,1e-07,1.0,601,11427,19.013311148086522,2.2311307930067414e-06,1,0.00029076088685542345,1,6.73,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,adaptive_heun,1e-07,9.999999999999999e-06,100.0,601,1298,2.1597337770382694,2.2311307930067414e-06,1,0.0002955436357297003,1,1.18,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:LSODA,0.001,0.001,1.0,15,81,5.4,0.001633835956454277,1,0.0010589356534183025,1,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:LSODA,0.001,0.1,100.0,15,15,1.0,0.001633835956454277,1,0.01420612819492817,0,0.01,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:LSODA,1e-05,1e-05,1.0,55,24204,440.07272727272726,5.4385898692999035e-05,1,0.0003015028196386993,1,6.56,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:LSODA,1e-05,0.001,100.0,55,81,1.4727272727272727,5.4385898692999035e-05,1,0.000983514473773539,1,0.03,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:LSODA,1e-07,1e-07,1.0,317,178578,563.3375394321766,1.5490779787796782e-06,1,0.0002905504952650517,1,48.64,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:LSODA,1e-07,9.999999999999999e-06,100.0,317,27468,86.64984227129338,1.5490779787796782e-06,1,0.0002980905119329691,1,7.54,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:BDF,0.001,0.001,1.0,273,3045,11.153846153846153,0.007371350657194853,1,0.00826341100037098,1,1.15,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:BDF,0.001,0.1,100.0,273,3023,11.073260073260073,0.007371350657194853,1,0.06216348335146904,0,0.98,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:BDF,1e-05,1e-05,1.0,299,3268,10.929765886287626,0.00016314350068569183,1,0.0004504441167227924,1,2.91,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:BDF,1e-05,0.001,100.0,299,3046,10.187290969899665,0.00016314350068569183,1,0.0034031192772090435,1,1.15,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:BDF,1e-07,1e-07,1.0,429,8879,20.696969696969695,4.615844773070421e-06,1,0.0002927865134552121,1,37.37,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:BDF,1e-07,9.999999999999999e-06,100.0,429,3271,7.624708624708624,4.615844773070421e-06,1,0.00032419804483652115,1,2.95,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:RK45,0.001,0.001,1.0,20,26,1.3,0.002386478940024972,1,0.0054737264290452,1,0.02,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:RK45,0.001,0.1,100.0,20,20,1.0,0.002386478940024972,1,0.021932370960712433,0,0.01,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:RK45,1e-05,1e-05,1.0,32,146,4.5625,0.000536026491317898,1,0.000802131078671664,1,0.05,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:RK45,1e-05,0.001,100.0,32,26,0.8125,0.000536026491317898,1,0.00540586793795228,1,0.02,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:RK45,1e-07,1e-07,1.0,86,2624,30.511627906976745,2.611884701764211e-05,1,0.0002734559529926628,1,0.73,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
spheres,0,0,scipy:RK45,1e-07,9.999999999999999e-06,100.0,86,176,2.046511627906977,2.611884701764211e-05,1,0.0008325219387188554,1,0.07,0,1e-09,AMD Ryzen 7 7700X 8-Core Processor
