model,augment_dim,geometry,seed,epochs,width_over_pi,n_train_after_slice,n_slice_val,train_acc,train_loss,full_val_acc,full_val_loss,slice_val_acc,slice_val_loss,obs_val_acc,obs_val_loss,gen_gap_loss,fwd_nfe,recon_max,recon_ok,train_tol,eval_tol,hardware,wall_s
ANODE-p1,1,spheres,0,100,0.2,1069,287,1.0,2.8385381938278442e-06,1.0,6.851011676189955e-06,1.0,2.4340289428437245e-07,1.0,7.550011559942504e-06,-2.5951352995434718e-06,206.0,0.0005424036062322557,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,226.3
ANODE-p1,1,spheres,1,100,0.2,1087,320,1.0,8.203164014730646e-08,1.0,1.6769836292951368e-06,1.0,0.0,1.0,1.8772204839478945e-06,-8.203164014730646e-08,182.0,0.0006578714237548411,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,238.7
ANODE-p1,1,spheres,2,100,0.2,1092,315,1.0,0.0,0.999666690826416,0.0015357265947386622,1.0,2.637633826907404e-07,0.9996275901794434,0.0017158646369352937,2.637633826907404e-07,164.0,0.00043790240306407213,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,250.6
NODE,0,spheres,4,100,0.2,1072,291,1.0,0.0018851652275770903,0.9980000257492065,0.013890520669519901,1.0,0.0015250960132107139,0.9977851510047913,0.015218810178339481,-0.0003600692143663764,260.0,0.006684162653982639,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,410.4
ANODE-p1,1,spheres,5,100,0.2,1079,326,1.0,4.3606797817119514e-07,0.999666690826416,0.0005686284275725484,1.0,0.00024993272381834686,0.9996260404586792,0.0006074820994399488,0.00024949665584017566,140.0,0.000467470264993608,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,207.7
ANODE-p1,1,spheres,3,100,0.2,1084,278,1.0,6.410213018170907e-07,0.996666669845581,0.009916679002344608,0.9748201370239258,0.0692356675863266,0.9988978505134583,0.003858384443446994,0.06923502656502478,194.0,0.00077801727456972,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,275.9
ANODE-p2,2,spheres,0,100,0.2,1069,287,1.0,4.9223058340430725e-06,0.999666690826416,0.0007763399044051766,1.0,6.0949550970690325e-06,0.999631404876709,0.0008578217821195722,1.17264926302596e-06,170.0,0.00039019552059471607,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,190.7
ANODE-p1,1,spheres,4,100,0.2,1072,291,1.0,1.2354584555396286e-07,0.999666690826416,0.0003330803301651031,1.0,3.3140921118501865e-07,0.999630868434906,0.0003688241122290492,2.0786336563105579e-07,194.0,0.0014509691391140223,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,269.5
NODE,0,spheres,7,100,0.2,1076,295,1.0,0.002703207079321146,0.9986666440963745,0.00954193901270628,1.0,0.008188953623175621,0.9985212683677673,0.009689491242170334,0.005485746543854475,242.0,0.0012880353024229407,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,465.0
ANODE-p1,1,spheres,7,100,0.2,1076,295,1.0,1.0857350574156044e-08,1.0,5.328876795829274e-06,1.0,0.0,1.0,5.9100298130942974e-06,-1.0857350574156044e-08,158.0,0.00047516217455267906,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,214.8
ANODE-p1,1,spheres,9,100,0.2,1090,292,1.0,5.7250676945841406e-06,1.0,1.1961858945142012e-05,1.0,6.361890700645745e-05,1.0,6.391747774614487e-06,5.789383931187331e-05,158.0,0.00047203144640661776,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,231.2
ANODE-p1,1,spheres,8,100,0.2,1080,288,1.0,8.21217440716282e-08,1.0,4.222652307817043e-07,1.0,3.311368290681571e-09,1.0,4.667558926030324e-07,-7.881037578094663e-08,206.0,0.006679339334368706,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,290.7
ANODE-p1,1,spheres,6,100,0.2,1112,276,1.0,6.539340233757684e-07,0.9993333220481873,0.0030075320973992348,1.0,0.000419914023950696,0.9992657899856567,0.0032697126735001802,0.0004192600899273202,218.0,0.00044148915912956,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,310.3
ANODE-p2,2,spheres,1,100,0.2,1087,320,1.0,4.731073204311542e-07,0.9980000257492065,0.0033558309078216553,0.987500011920929,0.016684824600815773,0.9992537498474121,0.0017643088940531015,0.016684351493495342,194.0,0.0012136042350903153,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,256.2
NODE,0,spheres,6,100,0.2,1112,276,1.0,0.003874748246744275,0.984666645526886,0.14883442223072052,0.8478260636329651,1.533524990081787,0.9985315799713135,0.008535359986126423,1.5296502418350428,278.0,0.0013343986356630921,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,574.8
ANODE-p2,2,spheres,2,100,0.2,1092,315,1.0,6.106996806920506e-06,0.9983333349227905,0.0056167906150221825,1.0,7.2905104389064945e-06,0.9981378316879272,0.0062748887576162815,1.1835136319859885e-06,152.0,0.0004598525119945407,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,240.3
ANODE-p2,2,spheres,3,100,0.2,1084,278,1.0,2.258814078004434e-07,1.0,3.4224822798023524e-07,1.0,1.0471497944308794e-06,1.0,2.702560379930219e-07,8.21268386630436e-07,194.0,0.0004939154023304582,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,277.9
ANODE-p2,2,spheres,7,100,0.2,1076,295,1.0,2.998016498167999e-06,1.0,1.3429811588139273e-05,1.0,5.656717621604912e-05,1.0,8.72536747920094e-06,5.356915971788112e-05,122.0,0.0006022966699674726,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,179.8
ANODE-p2,2,spheres,5,100,0.2,1079,326,1.0,2.263857368234312e-06,1.0,2.3929073904582765e-06,1.0,1.943538563864422e-06,1.0,2.447691940687946e-06,-3.2031880436989013e-07,164.0,0.0007145366980694234,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,237.6
ANODE-p2,2,spheres,9,100,0.2,1090,292,1.0,9.090426260627282e-07,1.0,5.170929853193229e-06,1.0,1.3472281068516168e-08,1.0,5.727051757276058e-06,-8.955703449942121e-07,140.0,0.000465003598947078,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,220.7
ANODE-p2,2,spheres,8,100,0.2,1080,288,1.0,3.454860930673931e-08,0.996666669845581,0.01973826251924038,1.0,0.0,0.99631267786026,0.0218343622982502,-3.454860930673931e-08,176.0,0.0006071801763027906,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,252.2
ANODE-p2,2,spheres,4,100,0.2,1072,291,1.0,3.518395260471152e-06,1.0,3.2079210541269276e-06,1.0,4.917831574857701e-06,1.0,3.0242433695093496e-06,1.3994363143865485e-06,212.0,0.0008078668033704162,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,303.5
ANODE-p3,3,spheres,0,100,0.2,1069,287,1.0,2.7878688246829597e-09,0.9959999918937683,0.01916639506816864,0.9686411023139954,0.15066809952259064,0.998894214630127,0.005255227908492088,0.1506680967347218,158.0,0.0003735801437869668,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,232.8
ANODE-p3,3,spheres,2,100,0.2,1092,315,1.0,1.349290386087887e-07,1.0,1.537399612061563e-07,1.0,3.988770629348437e-07,1.0,1.2498085766310396e-07,2.63948024326055e-07,140.0,0.0005074762157164514,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,226.5
ANODE-p2,2,spheres,6,100,0.2,1112,276,1.0,5.856152711203322e-06,0.9983333349227905,0.005804477259516716,1.0,1.910797891468974e-06,0.9981644749641418,0.006392402108758688,-3.945354819734348e-06,212.0,0.011603094637393951,0,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,343.2
ANODE-p3,3,spheres,5,100,0.2,1079,326,1.0,3.0698492992087267e-06,1.0,3.0013075047463644e-06,1.0,5.901801159780007e-06,1.0,2.647694373081322e-06,2.83195186057128e-06,140.0,0.0005056580412201583,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,211.3
ANODE-p3,3,spheres,4,100,0.2,1072,291,1.0,3.0024724928523483e-09,1.0,4.331270453405978e-09,1.0,0.0,1.0,4.796534280870901e-09,-3.0024724928523483e-09,176.0,0.001978194108232856,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,259.0
ANODE-p3,3,spheres,3,100,0.2,1084,278,1.0,6.132011094450718e-07,0.999666690826416,0.000601508014369756,1.0,4.866990366281243e-07,0.9996325969696045,0.0006628907867707312,-1.2650207281694748e-07,200.0,0.0010642233537510037,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,296.2
ANODE-p3,3,spheres,6,100,0.2,1112,276,1.0,3.857975116261514e-06,1.0,1.464504293835489e-05,1.0,2.7945063152401417e-07,1.0,1.6100586435641162e-05,-3.5785244847374997e-06,146.0,0.00032811384880915284,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,235.9
ANODE-p3,3,spheres,1,100,0.2,1087,320,1.0,2.30303109916008e-09,1.0,4.092850058867725e-09,1.0,0.0,1.0,4.5815484739364365e-09,-2.30303109916008e-09,230.0,0.0023498013615608215,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,327.5
ANODE-p5,5,spheres,2,100,0.2,1092,315,1.0,2.3775041313456313e-07,1.0,1.5612215520377504e-07,1.0,8.855528932372181e-08,1.0,1.6404899838562415e-07,-1.4919512381084132e-07,110.0,0.0008690400863997638,1,1e-06,1e-06,AMD Ryzen 7 7700X 8-Core Processor,182.3
